start_date,end_date,country_name,iso,location,dis_type,dis_subtype,total_deaths,total_affected,total_dam,insured_losses,disaster_no,associated_dis,associated_dis2
10/06/1954,10/06/1954,Afghanistan,AFG,North Region,Earthquake,Ground movement,2000,0,0,0,1954-0009,--,--
10/06/1956,10/06/1956,Afghanistan,AFG,Kabul,Earthquake,Ground movement,100,2000,25000,0,1956-0008,--,--
19/03/1976,19/03/1976,Afghanistan,AFG,Hindu Kush,Earthquake,Ground movement,50,90000,0,0,1976-0028,--,--
16/12/1982,16/12/1982,Afghanistan,AFG,Baghlan province (Hindu Kush region),Earthquake,Ground movement,500,38000,1000,0,1982-0127,--,--
16/12/1983,16/12/1983,Afghanistan,AFG,"Hindu Kush region, North-East provinces",Earthquake,Ground movement,12,34503,3000,0,1983-0166,--,--
02/02/1984,02/02/1984,Afghanistan,AFG,Jalalabad Area,Earthquake,Ground movement,1,35,5000,0,1984-0309,--,--
31/01/1991,31/01/1991,Afghanistan,AFG,"Konar, Nangarhar, Badakhstan provinces",Earthquake,Ground movement,130,7000,0,0,1991-0033,--,--
18/04/1991,18/04/1991,Afghanistan,AFG,Keshim (Badakhshan province),Earthquake,Ground movement,24,0,0,0,1991-0498,"Slide (land, mud, sn",--
20/05/1992,20/05/1992,Afghanistan,AFG,,Earthquake,Ground movement,14,0,0,0,1992-0202,--,--
01/05/1994,01/05/1994,Afghanistan,AFG,"Termez, Depth Shallow, Balkh and Jowzan Provinces, Mazar-I-Sharif District",Earthquake,Ground movement,160,100330,0,0,1994-0057,--,--
31/01/1996,31/01/1996,Afghanistan,AFG,"Pakhalsoz, Dar-E-Zand, Qala-E-Khwaja (Maimana, Faryab Province)",Earthquake,Ground movement,0,3250,0,0,1996-0020,--,--
10/05/1997,10/05/1997,Afghanistan,AFG,Herat area,Earthquake,Ground movement,5,0,10,0,1997-0095,--,--
04/02/1998,04/02/1998,Afghanistan,AFG,Rustaq (Takhar province),Earthquake,Ground movement,2323,32818,10000,0,1998-0026,--,--
30/05/1998,30/05/1998,Afghanistan,AFG,Shari-I-Buzurg (Faizabad ),Earthquake,Ground movement,4700,116935,10000,0,1998-0152,"Slide (land, mud, sn",--
20/02/1998,20/02/1998,Afghanistan,AFG,Rostaq area,Earthquake,Ground movement,0,0,0,0,1998-0579,--,--
11/02/1999,11/02/1999,Afghanistan,AFG,"Maidam Shar, Nirkh, Sayedabad, Baraki Barak, Pul-e-Alam, Mohammad Agha - Lowgar ",Earthquake,Ground movement,70,91960,0,0,1999-0054,--,--
25/02/2001,25/02/2001,Afghanistan,AFG,Fayzabad district (Badakhshan province),Earthquake,Ground movement,0,0,0,0,2001-0086,--,--
