start_date,end_date,country_name,iso,location,dis_type,dis_subtype,total_deaths,total_affected,total_dam,insured_losses,disaster_no,associated_dis,associated_dis2
26/12/1990,26/12/1990,Afghanistan,AFG,,Extreme temperature ,Cold wave,144,0,0,0,1990-0248,--,--
03/01/1991,03/01/1991,Afghanistan,AFG,East and South Afghan Provinces,Extreme temperature ,Cold wave,80,200,0,0,1991-0009,--,--
31/01/2001,20/02/2001,Afghanistan,AFG,"Hirat, Faryab, Jawzjan, Balkh, Samangan, Sar-e-Pul, Kunduz, Baghlan provinces",Extreme temperature ,Cold wave,150,100000,10,0,2001-0027,--,--
/11/2001,/11/2001,Afghanistan,AFG,Kunduz province,Extreme temperature ,Cold wave,177,100000,0,0,2001-0668,--,--
09/04/2005,10/04/2005,Afghanistan,AFG,Badakhshan province,Extreme temperature ,Cold wave,21,0,0,0,2005-0757,Snow/ice,--
05/01/2008,15/02/2008,Afghanistan,AFG,"Nangarhar, Laghman (Eastern), Paktika, Paktya (Central), Ghor, Badghis, Hirat (Western), Sar-e-Pul, Kunduz, Balkh, Jawzjan, Takhar (Northern), Hilmand (SouthWest), Farah provinces",Extreme temperature ,Severe winter conditions,1317,170684,0,0,2008-0006,Cold wave,"Avalanche (Snow, Deb"
16/01/2012,17/01/2012,Afghanistan,AFG,"Badakhshan, Daykundi provinces",Extreme temperature ,Severe winter conditions,45,68,0,0,2012-0050,--,--
06/03/1985,06/03/1985,Albania,ALB,,Extreme temperature ,Severe winter conditions,68,7085,0,0,1985-0244,--,--
01/07/2004,/07/2004,Albania,ALB,"Durres city (Durres district, Durres province)",Extreme temperature ,Heat wave,3,0,0,0,2004-0333,--,--
15/07/2007,22/07/2007,Albania,ALB,"Berat, Bulqize, Delvine, Devoll, Diber, Durres, Elbasan, Fier, Gjirokastër, Gramsh, Has, Kavaje, Kolonjë, Korce, Krujë, Kucove, Kukës, Kurbin, Lezhë, Librazhd, Lushnjë, Malesi E Madhe, Mallakaster, Mat, Mirditë, Peqin, Permet, Pogradec, Puke, Sarandë, Shkoder, Skrapar, Tepelenë, Tirane, Tropojë, Vlore provinces",Extreme temperature ,Heat wave,0,150,0,0,2007-0235,--,--
/01/2012,/02/2012,Albania,ALB,"Puke, Shkoder, Kukes, Librazhd, Korce provinces, Peshkopi district (Diber province)",Extreme temperature ,Severe winter conditions,5,230000,0,0,2012-0012,--,--
21/06/2003,21/07/2003,Algeria,DZA,Adrar (province?/district?),Extreme temperature ,Heat wave,40,0,0,0,2003-0785,--,--
04/01/1972,04/01/1972,Argentina,ARG,Buenos Aires,Extreme temperature ,Heat wave,100,0,0,0,1972-0014,--,--
/09/1995,/09/1995,Argentina,ARG,"Rawson, sarmiento, El Maiten, Epuyen, Alto Rio Surgen, Cholila, El Hoyo y Carrenleufeu",Extreme temperature ,Cold wave,0,25000,0,0,1995-0221,--,--
17/06/2000,17/06/2000,Argentina,ARG,"Buenos Aires, Sante Fe, Formosa, Santa Cruz provinces",Extreme temperature ,Cold wave,15,300,0,0,2000-0421,--,--
/07/2001,/07/2001,Argentina,ARG,"Chubut, Neuquen, Rio Negro (Patagonia), Catamarca, Buenos Aires provinces",Extreme temperature ,Cold wave,14,3000,0,0,2001-0377,--,--
/07/2002,/07/2002,Argentina,ARG,"Catamarca, Chaco, Corrientes, Formosa, Jujuy, Misiones, Salta, Santiago Del Estero, Tucuman provinces",Extreme temperature ,Cold wave,0,200,0,0,2002-0494,--,--
/07/2004,/07/2004,Argentina,ARG,"Mar del Plata city (General Pueyrredon district, Buenos Aires province)",Extreme temperature ,Cold wave,5,0,0,0,2004-0331,Snow/ice,--
/05/2007,/07/2007,Argentina,ARG,"Rosario district (Santa Fe province), Cordoba, San Luis, Buenos Aires, Buenos Aires D.f., Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra Del Fuego, Mendoza, La Rioja provinces",Extreme temperature ,Severe winter conditions,9,0,0,0,2007-0263,Snow/ice,--
