start_date,end_date,country_name,iso,location,dis_type,dis_subtype,total_deaths,total_affected,total_dam,insured_losses,disaster_no,associated_dis,associated_dis2
28/07/1971,28/07/1971,Afghanistan,AFG,Khinjan Pass,Landslide,Landslide,100,0,0,0,1971-0044,--,--
08/04/1987,08/04/1987,Afghanistan,AFG,,Landslide,Avalanche,70,0,0,0,1987-0385,--,--
15/06/1993,15/06/1993,Afghanistan,AFG,"Chindawal district (Kabul), Badakhstan province",Landslide,Landslide,115,1000,0,0,1993-0169,--,--
27/03/1995,27/03/1995,Afghanistan,AFG,"Kurluk Zir Kutal (Daraim district, Badakhshan Province)",Landslide,Landslide,354,174,0,0,1995-0050,--,--
27/03/1997,27/03/1997,Afghanistan,AFG,"Mazar-E-Sharif (city) (Balkh, Hindu Kush)",Landslide,Avalanche,100,0,0,0,1997-0322,--,--
27/03/1998,27/03/1998,Afghanistan,AFG,Salang - Salang Tunnel Level 1 = Baghlan,Landslide,Avalanche,70,0,0,0,1998-0437,--,--
06/02/2002,06/02/2002,Afghanistan,AFG,Salang district (Parwan province),Landslide,Avalanche,5,400,0,0,2002-0088,--,--
13/01/2006,13/01/2006,Afghanistan,AFG,"Ghuldori village (Kohestanat district, Sar-e-Pul province) ",Landslide,Landslide,13,300000,0,0,2006-0021,--,--
31/01/2006,31/01/2006,Afghanistan,AFG,Kohestan district (Badakhshan province),Landslide,Avalanche,15,0,0,0,2006-0045,--,--
18/01/2009,18/01/2009,Afghanistan,AFG,"Salang mountain pass (Hindu Kush mountains, Salang district, Parwan province)",Landslide,Avalanche,10,32,0,0,2009-0033,--,--
06/02/2010,09/02/2010,Afghanistan,AFG,"Salang mountain pass (Hindu Kush mountains, Salang district, Parwan province)",Landslide,Avalanche,169,130,0,0,2010-0048,--,--
02/03/2010,02/03/2010,Afghanistan,AFG,Arghanjkhwa district (Badakhshan province),Landslide,Avalanche,35,0,0,0,2010-0129,--,--
18/01/2012,18/01/2012,Afghanistan,AFG,"Arghanjkhwa, Eshkmesh, Khwahan, Kohestan, Kofab, Raghestan, Shuhada, Shahr-e-Buzorg, Yaftal-e-Sufla, Yawan districts (Badakhshan province)",Landslide,Avalanche,29,40,0,0,2012-0013,--,--
05/03/2012,05/03/2012,Afghanistan,AFG,Shaki district (Badakhshan province),Landslide,Avalanche,37,6,0,0,2012-0067,--,--
12/03/2012,12/03/2012,Afghanistan,AFG,Nuristan province,Landslide,Avalanche,45,0,0,0,2012-0563,--,--
10/09/2013,10/09/2013,Afghanistan,AFG,Zebak district (Badakhshan province),Landslide,Landslide,24,1000,0,0,2013-0414,--,--
15/02/2015,27/02/2015,Afghanistan,AFG,"Laghman, Nangarhar, Panjsher, Badakhshan, Bamyan provinces",Landslide,Avalanche,254,32985,3000,0,2015-0054,"Slide (land, mud, sn",Flood
21/02/2015,21/02/2015,Afghanistan,AFG,Raghestan district (Badakhshan province),Landslide,Avalanche,12,50,0,0,2015-0058,--,--
15/02/2015,15/02/2015,Afghanistan,AFG,"Yamgan district
",Landslide,Avalanche,6,100,0,0,2015-0059,--,--
27/04/2015,02/05/2015,Afghanistan,AFG,"Geriy Bala village (Khwahan district, Badakhshan province), Abi Barik village (Argo district, Badakhshan province), Jawzjan, Faryab, Sar-e-Pul, Baghlan, Balkh provinces",Landslide,Landslide,52,500,0,0,2015-0151,Flood,--
11/01/1985,11/01/1985,Albania,ALB,North,Landslide,Landslide,57,26,0,0,1985-0241,--,--
25/12/1993,25/12/1993,Algeria,DZA,Oran,Landslide,Landslide,15,696,0,0,1993-0344,--,--
09/10/2000,09/10/2000,Angola,AGO,"Chassuala village (Saurimo district, Lunda-Sul province)",Landslide,Landslide,13,0,0,0,2000-0657,--,--
16/08/1965,16/08/1965,Argentina,ARG,"Mendoza, Las Cuevas",Landslide,Landslide,45,0,0,0,1965-0048,--,--
/01/1984,/01/1984,Argentina,ARG,"Vescupio, Northeast, Northwestern provinces",Landslide,Landslide,30,12014,0,0,1984-0006,--,--
09/02/2009,10/02/2009,Argentina,ARG,"Tartagal town (Genaral Jose de San Martin district, Salta Province)",Landslide,Landslide,4,20000,15000,0,2009-0041,--,--
25/01/2014,25/01/2014,Argentina,ARG,"El Rodeo town (Ambato district, Catamarca province)",Landslide,--,24,350,0,0,2014-0021,--,--
24/06/2016,24/06/2016,Armenia,ARM,"Karchaghbyur city (Vardanis district, Gegharqunik province), Artik city (Artik district, Shirak province)",Landslide,Landslide,0,750,0,0,2016-0482,--,--
27/09/1996,27/09/1996,Australia,AUS,Gracetown,Landslide,Landslide,9,101,0,0,1996-0225,--,--
31/07/1997,31/07/1997,Australia,AUS,Thredbo,Landslide,Landslide,19,0,0,0,1997-0153,--,--
/12/1952,/12/1952,Austria,AUT,,Landslide,Landslide,28,0,0,0,1952-0034,--,--
11/01/1954,11/01/1954,Austria,AUT,Dalaas,Landslide,Avalanche,10,0,0,0,1954-0003,--,--
12/01/1954,12/01/1954,Austria,AUT,"Blons, Langen Valley",Landslide,Avalanche,200,380,0,0,1954-0004,--,--
/04/1975,/04/1975,Austria,AUT,Alps,Landslide,Landslide,15,0,0,0,1975-0026,--,--
/02/1982,/02/1982,Austria,AUT,Near Salzburg,Landslide,Avalanche,12,0,0,0,1982-0298,--,--
09/02/1984,09/02/1984,Austria,AUT,Swiss border,Landslide,Avalanche,30,0,0,0,1984-0243,--,--
24/02/1999,24/02/1999,Austria,AUT,"Galtuer, Valzur",Landslide,Avalanche,50,10000,41570,0,1999-0050,--,--
28/03/2000,28/03/2000,Austria,AUT,"Kitzsteinhorn (Zell am See, Salzburg)",Landslide,Avalanche,13,0,0,0,2000-0155,--,--
/12/2000,/12/2000,Azerbaijan,AZE,Dashkesan city (Dashkesan district; Ganja-Gazakh province),Landslide,Avalanche,11,0,0,0,2000-0834,--,--
29/10/1997,02/11/1997,Azores Islands,AZO,"Ribeira Quente Village, Sao Miguel",Landslide,Landslide,29,55,16300,0,1997-0272,Flood,--
16/08/2008,16/08/2008,Bangladesh,BGD,"Chittagong city (Chittagong district, Chittagong province)",Landslide,Landslide,13,50,0,0,2008-0568,--,--
14/06/2010,15/06/2010,Bangladesh,BGD,"Cox's Bazar, Bandarban districts (Chittagong province)",Landslide,Landslide,66,55230,0,0,2010-0231,--,--
04/07/2011,04/07/2011,Bangladesh,BGD,"Chittagong city (Chittagong district, Chittagong province)",Landslide,Landslide,17,0,0,0,2011-0586,--,--
18/07/2015,18/07/2015,Bangladesh,BGD,"Lalkhan Bazar area (Chittagong district, Chittagong province)",Landslide,Landslide,7,1003,0,0,2015-0411,--,--
08/12/1992,08/12/1992,Bolivia (Plurinational State of),BOL,"llipi (Tipuani, la Paz department)",Landslide,Landslide,49,600,400000,0,1992-0161,--,--
/02/1994,/02/1994,Bolivia (Plurinational State of),BOL,"Caranari, Larecaja, Nor y Sud Yungas, J.M. Pando, Pacajes, Munecas, Villaroel, Camacho, Loayza (La Paz Dpt.), Chapare, Toraque, Carrasco, Campero, Ayopaya ( Cochabamba Dpt.)",Landslide,Landslide,0,165000,0,0,1994-0043,--,--
09/04/1996,09/04/1996,Bolivia (Plurinational State of),BOL,Mount Cotahuma (La Paz),Landslide,Landslide,40,0,0,0,1996-0065,--,--
11/02/1998,11/02/1998,Bolivia (Plurinational State of),BOL,Mocotoro,Landslide,Landslide,60,23,0,0,1998-0030,--,--
31/03/2003,31/03/2003,Bolivia (Plurinational State of),BOL,"Chima town (Larecaja province, La Paz department)",Landslide,Landslide,69,1001,0,0,2003-0153,--,--
26/02/2011,26/02/2011,Bolivia (Plurinational State of),BOL,"La Paz city (Murillo province, La Paz department)",Landslide,Landslide,0,4000,0,0,2011-0107,--,--
23/09/2013,23/09/2013,Bolivia (Plurinational State of),BOL,"Caranavi town (Caranavi Province, La Paz department)",Landslide,--,19,29,0,0,2013-0383,--,--
01/01/2014,28/02/2014,Bolivia (Plurinational State of),BOL,"Trinidad town (Cercado Province, Beni department), Rurrenabaque town (General Jose Ballivi province, Beni department); Cochabamba, La Paz, Chuquisaca, Oruro, Tarija, Santa Cruz, Potosi, Pando departments",Landslide,Landslide,74,11400,200000,0,2014-0035,--,--
10/02/2000,10/02/2000,Bosnia and Herzegovina,BIH,"Velika Broda (Zenicko-dobojski district, Federacija Bosne I Hercegovine)",Landslide,Landslide,6,403,0,0,2000-0072,--,--
/03/1956,/03/1956,Brazil,BRA,,Landslide,Landslide,30,0,0,0,1956-0030,--,--
/03/1956,/03/1956,Brazil,BRA,,Landslide,Landslide,36,0,0,0,1956-0033,--,--
11/01/1966,11/01/1966,Brazil,BRA,Rio de Janeiro,Landslide,Landslide,350,4000000,27,0,1966-0019,--,--
19/03/1967,19/03/1967,Brazil,BRA,Rio de Janeiro,Landslide,Landslide,436,0,0,0,1967-0028,--,--
/05/1974,/05/1974,Brazil,BRA,North East (Ceara),Landslide,Landslide,91,0,0,0,1974-0024,--,--
23/10/1974,23/10/1974,Brazil,BRA,Sao Tome,Landslide,Landslide,30,0,0,0,1974-0053,--,--
/12/1983,/12/1983,Brazil,BRA,,Landslide,Landslide,13,40,0,0,1983-0204,--,--
20/05/1989,20/05/1989,Brazil,BRA,"Salvador, Santo Amaro Da Purificado (Central Bahia)",Landslide,Landslide,69,78000,0,0,1989-0157,--,--
27/04/1989,27/04/1989,Brazil,BRA,Roraima,Landslide,Landslide,30,0,0,0,1989-0439,--,--
24/06/1989,24/06/1989,Brazil,BRA,Santa Luzia,Landslide,Landslide,31,0,0,0,1989-0446,--,--
10/01/1991,18/01/1991,Brazil,BRA,"Minas Gerais, Rio de Janeiro",Landslide,Landslide,24,600,0,0,1991-0478,--,--
18/03/1992,20/03/1992,Brazil,BRA,"Barraguinha (Near Belo Horizonte, Minas Gerais state)",Landslide,Landslide,30,60,0,0,1992-0042,--,--
07/02/1995,07/02/1995,Brazil,BRA,Sao Paulo,Landslide,Landslide,42,2000,0,0,1995-0028,--,--
31/05/1995,31/05/1995,Brazil,BRA,Salvador,Landslide,Landslide,86,0,0,0,1995-0092,--,--
20/02/1996,20/02/1996,Brazil,BRA,"Rio de Janeiro, Sao Paulo",Landslide,Landslide,96,4000,0,0,1996-0028,--,--
21/04/1996,21/04/1996,Brazil,BRA,Salvador City,Landslide,Landslide,26,15,0,0,1996-0077,--,--
29/04/1996,29/04/1996,Brazil,BRA,Recife city,Landslide,Landslide,49,3090,0,0,1996-0080,--,--
21/05/1999,21/05/1999,Brazil,BRA,Salvador,Landslide,Landslide,25,9,0,0,1999-0190,--,--
30/07/2000,17/08/2000,Brazil,BRA,"Alagoas, Pernambuco provinces",Landslide,Landslide,60,143000,75000,0,2000-0466,--,--
09/12/2002,12/12/2002,Brazil,BRA,"Angra Dos Reis district, Rio de Janeiro province",Landslide,Landslide,74,1500,11000,0,2002-0824,Flood,--
21/12/2002,21/12/2002,Brazil,BRA,Teresopolis district (Rio de Janeiro province),Landslide,Landslide,13,0,0,0,2002-0830,--,--
