start_date,end_date,country_name,iso,location,dis_type,dis_subtype,total_deaths,total_affected,total_dam,insured_losses,disaster_no,associated_dis,associated_dis2
/03/1993,/03/1993,Afghanistan,AFG,Salang district (Parwan province),Mass movement (dry),Avalanche,100,0,0,0,1993-0419,--,--
29/04/1903,29/04/1903,Canada,CAN,"Frank, Alberta",Mass movement (dry),Rockfall,76,23,0,0,1903-0006,--,--
13/08/1905,13/08/1905,Canada,CAN,"Spence's Bridge, British Columbia",Mass movement (dry),Rockfall,18,18,0,0,1905-0005,--,--
26/04/1908,26/04/1908,Canada,CAN,"Notre Dame de La Salette, Quebec",Mass movement (dry),Landslide,33,0,0,0,1908-0011,--,--
05/03/1910,05/03/1910,Canada,CAN,"Roger's Pass, British Columbia",Mass movement (dry),Avalanche,62,0,0,0,1910-0016,--,--
22/03/1915,22/03/1915,Canada,CAN,"Cooper Mine, British Columbia",Mass movement (dry),Avalanche,56,22,0,0,1915-0010,--,--
12/11/1955,12/11/1955,Canada,CAN,Nicolet (Quebec),Mass movement (dry),Landslide,3,2006,0,0,1955-0031,--,--
18/02/1965,18/02/1965,Canada,CAN,Granuc Mine (British Columbia),Mass movement (dry),Avalanche,26,22,0,0,1965-0088,--,--
04/05/1971,04/05/1971,Canada,CAN,Jean Vianney (Quebec),Mass movement (dry),Landslide,31,1500,0,0,1971-0031,--,--
07/03/1983,07/03/1983,China,CHN,"Mt.Sale (Dongxiang arera, N.W.Gansu)",Mass movement (dry),Landslide,277,0,0,0,1983-0051,--,--
29/06/1990,29/06/1990,China,CHN,Yunnan province,Mass movement (dry),Landslide,69,10,0,0,1990-0036,--,--
06/10/1990,06/10/1990,China,CHN,Wenzhou (Zhejiang province),Mass movement (dry),Landslide,4,5105,0,0,1990-0284,--,--
12/08/1992,12/08/1992,China,CHN,Jijiagou (Shanxi province),Mass movement (dry),Landslide,49,0,0,0,1992-0300,--,--
03/12/2004,03/12/2004,China,CHN,"Zuojiaying village (Liupanshui Shi area, Liupanshui district, Guizhou Sheng province)",Mass movement (dry),Landslide,44,353,0,0,2004-0619,--,--
18/06/2006,18/06/2006,China,CHN,"Shiji village (Kangding area, Garze Tibetan district, Sichuan Sheng province)",Mass movement (dry),Landslide,11,5,0,0,2006-0304,--,--
11/01/2013,11/01/2013,China,CHN,"Zhaojiagou village (Zhaotong district, Yunnan Sheng province)",Mass movement (dry),Landslide,46,2,8000,0,2013-0018,--,--
28/07/1983,28/07/1983,Colombia,COL,Gachala,Mass movement (dry),Rockfall,160,0,0,0,1983-0100,--,--
18/12/1993,18/12/1993,Colombia,COL,Antioquia Province,Mass movement (dry),Landslide,75,2411,0,0,1993-0233,--,--
16/11/2008,16/11/2008,Colombia,COL,Medellin district (Antioquia province),Mass movement (dry),Landslide,12,0,0,0,2008-0538,--,--
16/07/2002,16/07/2002,Ecuador,ECU,"Santiago De Mendez municipality (Santiago district, Morona Santiago province)",Mass movement (dry),Landslide,60,0,0,0,2002-0437,--,--
14/12/1993,14/12/1993,Egypt,EGY,Mokattam (Cairo),Mass movement (dry),Subsidence,34,300,0,0,1993-0345,--,--
06/09/2008,06/09/2008,Egypt,EGY,Minshat Nasir district (Cairo province),Mass movement (dry),Rockfall,98,697,0,0,2008-0394,--,--
03/04/1991,03/04/1991,Ethiopia,ETH,Hararghe Province,Mass movement (dry),Landslide,13,0,0,0,1991-0085,--,--
10/02/1970,10/02/1970,France,FRA,Val d'Isere,Mass movement (dry),Avalanche,42,37,0,0,1970-0016,--,--
15/03/1982,15/03/1982,France,FRA,French Alps,Mass movement (dry),Avalanche,13,0,0,0,1982-0302,--,--
27/02/1983,27/02/1983,France,FRA,"Mont Blanc, Pyrenees",Mass movement (dry),Avalanche,9,15,0,0,1983-0342,--,--
06/01/1991,06/01/1991,Guatemala,GTM,Quetzaltenango province,Mass movement (dry),Rockfall,23,0,0,0,1991-0046,--,--
04/01/2009,04/01/2009,Guatemala,GTM,"Aquil Grande, Aquil Pequeno, Independencia, Zacaton (San Cristobal Verapaz district, Alta Verapraz province)",Mass movement (dry),Landslide,36,3028,0,0,2009-0003,--,--
//1989,//1989,Honduras,HND,,Mass movement (dry),Avalanche,10,0,0,0,1989-0575,--,--
05/08/1989,05/08/1989,India,IND,North India,Mass movement (dry),Landslide,45,0,0,0,1989-0368,--,--
23/02/2012,23/02/2012,India,IND,Adminitrative unit not available districts (Jammu and Kashmir province),Mass movement (dry),Avalanche,16,0,0,0,2012-0049,--,--
04/05/1987,04/05/1987,Indonesia,IDN,Padang Panjang (West Sumatra),Mass movement (dry),Landslide,131,701,1000,0,1987-0094,--,--
30/11/1937,30/11/1937,Jamaica,JAM,"Millbank, Portland",Mass movement (dry),Landslide,40,0,0,0,1937-0010,--,--
/12/1983,/12/1983,Lebanon,LBN,Bekaa valley,Mass movement (dry),Landslide,20,0,0,0,1983-0455,--,--
06/10/1982,06/10/1982,Liberia,LBR,Near Mano river,Mass movement (dry),Landslide,46,200,0,0,1982-0136,--,--
11/12/1993,11/12/1993,Malaysia,MYS,Kuala Lumpur,Mass movement (dry),Landslide,72,0,0,0,1993-0227,--,--
27/02/1988,27/02/1988,Morocco,MAR,Near Fes,Mass movement (dry),Rockfall,31,0,0,0,1988-0094,--,--
10/08/1963,10/08/1963,Nepal,NPL,Trisuli,Mass movement (dry),Landslide,150,0,0,0,1963-0018,--,--
26/03/1988,26/03/1988,Pakistan,PAK,"Arandu Gul - Jammu, Kashmir regions",Mass movement (dry),Avalanche,50,0,0,0,1988-0138,--,--
13/10/2015,13/10/2015,Pakistan,PAK,"Gulistane Jauhar area (Karachi East District district, Sindh province)",Mass movement (dry),Rockfall,13,0,0,0,2015-0454,--,--
06/09/1988,06/09/1988,Papua New Guinea,PNG,Kaiapit district (Morobe province),Mass movement (dry),Landslide,76,1000,0,0,1988-0415,--,--
06/01/2008,06/01/2008,Papua New Guinea,PNG,"Kainantu gold mine site (Kainantu district, Eastern Highlands province)",Mass movement (dry),--,10,0,0,0,2008-0625,--,--
10/01/1962,10/01/1962,Peru,PER,Ranrahirca area,Mass movement (dry),Landslide,2000,0,200000,0,1962-0002,--,--
16/06/1985,16/06/1985,Peru,PER,La Hoyada region,Mass movement (dry),Landslide,0,0,0,0,1985-0071,--,--
11/11/1980,11/11/1980,Philippines (the),PHL,Santa Fe (Vizcaya Province),Mass movement (dry),Rockfall,50,0,0,0,1980-0314,--,--
21/10/1985,21/10/1985,Philippines (the),PHL,South Mindanao,Mass movement (dry),Landslide,300,0,0,0,1985-0125,--,--
08/11/2000,08/11/2000,Philippines (the),PHL,"Apayao, Kalinga districts (Cordillera Administrative region (CAR) province)",Mass movement (dry),Landslide,11,0,0,0,2000-0763,--,--
26/11/1992,26/11/1992,Russian Federation (the),RUS,Dagestan,Mass movement (dry),Avalanche,0,1750,2600,0,1992-0475,--,--
//1993,//1993,Russian Federation (the),RUS,,Mass movement (dry),Avalanche,60,0,0,0,1993-0526,--,--
