affected,end_date,deaths,lon,damage,lat,start_date,death_level,affected_level,damage_level
0,16/06/1985,0,-76.9662828,0,-12.1229578,16/06/1985,1,1,1
0,//1989,10,-98.21958049999999,0,18.9664316,//1989,2,1,1
0,16/11/2008,12,-75.57351899999999,0,6.227289700000001,16/11/2008,3,1,1
0,18/03/1992,12,69.60148749999999,0,40.2952166,18/03/1992,3,1,1
0,15/03/1982,13,7.438660199999999,0,43.7517544,15/03/1982,3,1,1
0,13/10/2015,13,67.1168805,0,24.929875,13/10/2015,3,1,1
0,/12/1983,20,-123.0817569,0,44.6011983,/12/1983,3,1,1
0,06/01/1991,23,-91.5079724,0,14.8368485,06/01/1991,3,1,1
0,27/02/1988,31,-5.0119606,0,34.0174919,27/02/1988,3,1,1
0,26/04/1908,33,-75.5843082,0,45.7676935,26/04/1908,3,1,1
0,30/11/1937,40,-72.8959088,0,43.1827291,30/11/1937,3,1,1
0,05/08/1989,45,88.3473827,0,22.5688414,05/08/1989,3,1,1
0,12/08/1992,49,108.204078,0,33.279897,12/08/1992,3,2,1
0,//1993,60,44.53586,0,40.1600172,//1993,4,2,1
0,05/03/1910,62,-98.2018993,0,47.0730539,05/03/1910,4,2,1
0,11/12/1993,72,101.6775488,0,3.1154596,11/12/1993,4,2,1
0,10/08/1963,150,85.1444185,0,27.9182977,10/08/1963,4,2,1
0,28/07/1983,160,-73.5205905,0,4.6914063,28/07/1983,4,2,1
0,07/03/1983,277,118.321639,0,29.710491,07/03/1983,4,2,1
5,18/06/2006,11,114.543126,0,36.644092,18/06/2006,2,2,2
10,29/06/1990,69,100.2653229,0,25.6069511,29/06/1990,4,2,2
15,27/02/1983,9,5.0684295,0,47.3017413,27/02/1983,2,2,2
18,13/08/1905,18,-81.9924679,0,42.4704544,13/08/1905,3,2,2
22,22/03/1915,56,-123.677646,0,48.360766,22/03/1915,4,2,2
23,29/04/1903,76,-79.4270392,0,43.6757831,29/04/1903,4,2,2
37,10/02/1970,42,6.976547,0,45.445456,10/02/1970,3,2,2
300,14/12/1993,34,31.3196699,0,29.9918022,14/12/1993,3,2,2
400,/01/1992,1,69.67235339999999,0,41.1520664,/01/1992,2,3,2
697,06/09/2008,98,31.2681951,0,30.0294733,06/09/2008,4,3,2
1069,07/02/1992,261,42.442024,0,37.515433,01/01/1992,4,3,2
1500,04/05/1971,31,-73.518534,0,45.69035299999999,04/05/1971,3,3,2
2006,12/11/1955,3,-73.5335068,0,45.3859086,12/11/1955,2,3,2
2411,18/12/1993,75,-75.57351899999999,0,6.227289700000001,18/12/1993,4,3,2
5105,06/10/1990,4,120.752858,0,27.968831,06/10/1990,2,3,3
701,04/05/1987,131,100.37743,1000,-0.46787,04/05/1987,4,3,3
2,11/01/2013,46,117.9030461,8000,40.9987375,11/01/2013,3,2,3
