affected,end_date,deaths,lon,damage,lat,start_date
0,/07/1956,51,69.19851489999999,0,34.53980689999999,/07/1956
0,/04/1963,107,69.19851489999999,0,34.53980689999999,/04/1963
250000,/01/1972,150,70.4424473,0,37.5462854,/01/1972
80000,/04/1976,51,62.1684337,0,34.3832898,/04/1976
161000,/06/1988,0,70.4424473,260000,37.5462854,/06/1988
108400,17/02/1991,415,70.4424473,60000,37.5462854,06/02/1991
4000,31/09/1992,450,69.1373559,4000,34.5435456,31/09/1992
0,08/05/1992,150,70.5712795,0,37.1189558,08/05/1992
9855,23/04/1996,70,70.4424473,0,37.5462854,09/04/1996
20000,15/05/1997,40,69.54184699999999,0,34.886905,12/05/1997
750,08/09/1997,30,70.2135055,0,34.5858903,07/09/1997
300,27/02/1998,30,65.777725,0,31.6003498,20/02/1998
1200,26/04/2002,7,69.1590911,0,34.4800398,23/04/2002
0,/01/2003,10,65.777725,0,31.6003498,/01/2003
2000,28/03/2003,11,69.16866639999999,0,34.53016119999999,17/03/2003
100,21/06/2003,13,71.6702327,0,36.0107624,16/06/2003
0,09/07/2003,15,69.0453833,0,34.0870361,09/07/2003
2500,17/01/2004,0,62.2159002,0,34.2151954,15/01/2004
2000,19/07/2004,16,67.45092629999999,0,33.1348111,13/07/2004
500,08/05/2005,20,73.0522209,0,31.42861509999999,04/05/2005
5040,17/06/2005,48,70.4424473,0,37.5462854,16/06/2005
0,12/09/2005,12,71.13920879999999,0,34.8603973,11/09/2005
0,12/09/2005,12,77.4237055,0,28.6643487,11/09/2005
5025,01/05/2006,19,73.0808972,0,31.4245522,28/04/2006
615,23/05/2006,21,65.2753188,0,34.5270183,19/05/2006
0,13/07/2006,10,69.95,0,33.333333,09/07/2006
2950,18/05/2007,23,70.4424473,0,37.5462854,14/05/2007
1180,/08/2008,0,69.75923,0,34.5916122,/08/2008
2500,15/04/2009,19,66.47724149999999,0,34.2321707,04/04/2009
40000,08/05/2010,70,62.1684337,0,34.3832898,05/05/2010
5000,03/08/2010,65,69.1310781,0,34.567108,27/07/2010
3065,16/02/2011,25,62.2181358,0,34.3516873,10/02/2011
4300,20/06/2012,35,65.2753188,0,34.5270183,18/06/2012
9500,29/04/2013,20,68.7479615,0,36.1769146,25/04/2013
2597,07/08/2013,52,69.2517508,0,34.5487781,01/08/2013
0,14/08/2013,31,69.0247759,0,34.6885949,10/08/2013
140100,02/05/2014,431,70.4424473,0,37.5462854,24/04/2014
0,08/04/2016,30,66.47724149999999,0,34.2321707,02/04/2016
0,17/04/2016,31,68.7479615,0,36.1769146,16/04/2016
0,12/05/2016,6,69.19851489999999,0,34.53980689999999,09/05/2016
0,19/07/2016,17,69.9227214,0,33.3405764,19/07/2016
35000,19/11/1992,11,19.8071691,7000,41.3240889,17/11/1992
1500,20/09/1995,4,19.7136823,0,41.6357347,20/09/1995
2000,27/12/1995,0,19.5101835,0,42.0662632,27/12/1995
8000,23/12/1997,0,19.5969772,0,41.6785235,20/12/1997
66884,10/10/2002,1,19.5969772,17500,41.6785235,21/09/2002
500,03/12/2005,3,19.4825803,0,40.480595,30/11/2005
6600,08/01/2010,0,19.815062,0,41.32883,27/12/2009
14000,03/12/2010,0,19.5969772,0,41.6785235,03/12/2010
42000,02/02/2015,0,19.9645726,0,40.7657963,01/02/2015
0,02/02/2015,0,19.7277546,0,40.6100328,31/01/2015
300,04/12/2015,1,20.4156148,0,42.015774,21/11/2015
4500,10/11/2016,2,19.4825803,0,40.480595,07/11/2016
0,01/11/1927,3000,0.0844955,0,35.9338007,01/11/1927
0,/09/1952,25,3.8220426,0,36.5354429,/09/1952
45400,/12/1963,0,-94.9851528,0,29.3833217,/12/1963
35912,06/10/1966,57,1.3547607,10000,36.1584495,06/10/1966
200237,/10/1969,76,3.0896085,10000,36.7231452,/09/1969
146000,/03/1973,21,3.8220426,10000,36.5354429,/03/1973
20000,31/03/1974,11,3.2761485,30000,36.7059583,31/03/1974
30000,/12/1979,0,0.5678774,0,35.7485642,/12/1979
50,04/09/1981,43,5.6964986,0,36.1594659,04/09/1981
8514,10/11/1982,37,7.760588299999999,0,36.9030605,10/11/1982
1470,/11/1984,54,0.5678774,0,35.7485642,/11/1984
15000,09/01/1985,26,3.8220426,0,36.5354429,09/01/1985
2258,29/01/1992,21,3.0896085,900,36.7231452,21/01/1992
1200,26/09/1994,32,4.7627071,0,36.0789402,21/09/1994
101,30/04/1996,4,8.4372723,0,36.8867041,23/04/1996
