affected,end_date,deaths,lon,damage,lat,start_date,extra
247495,2013,NULL,177.974,60988426,-17.819,2013,{'name': 'EVAN'}
0,2013,NULL,-178.131,0,-14.289,2013,{'name': 'EVAN'}
1371,2013,NULL,136.189,3095469,-24.973,2013,{'name': 'OSWALD'}
841,2013,NULL,-159.782,659353,-21.219,2013,{'name': 'GARRY'}
21410,2013,NULL,136.189,43430732,-24.973,2013,{'name': 'RUSTY'}
12135,2013,NULL,165.447,16953280,-21.359,2013,{'name': 'SANDRA'}
3,2013,NULL,136.189,6699,-24.973,2013,{'name': 'TIM'}
0,2013,NULL,57.583,0,-20.255,2013,{'name': 'IMELDA'}
1279060,2013,NULL,89.941,60747717,24.218,2013,{'name': 'MAHASEN:VIYARU'}
175668,2013,NULL,78.5,9762938,21,2013,{'name': 'MAHASEN:VIYARU'}
84214,2013,NULL,-102.535,20119230,23.951,2013,{'name': 'BARBARA'}
6285333,2013,NULL,78.5,344023632,21,2013,{'name': 'NOT NAMED'}
1463154,2013,NULL,-98.606,5276298496,39.622,2013,{'name': 'ANDREA'}
471586,2013,NULL,105.314,18255223,21.491,2013,{'name': 'BEBINCA'}
147621,2013,NULL,-172.414,24662848,-13.652,2013,{'name': 'EVAN'}
757,2013,NULL,160.109,92678,-9.611,2013,{'name': 'FREDA'}
6037,2013,NULL,122.466,309227,11.118,2013,{'name': 'SONAMU'}
7,2013,NULL,136.189,20427,-24.973,2013,{'name': 'PETA'}
2178108,2013,NULL,46.706,51565795,-19.374,2013,{'name': 'FELLENG'}
0,2013,NULL,46.706,0,-19.374,2013,{'name': 'FELLENG'}
1356751,2013,NULL,46.706,28081296,-19.374,2013,{'name': 'HARUNA'}
0,2013,NULL,46.706,0,-19.374,2013,{'name': 'HARUNA'}
705511,2013,NULL,139.068,2376629760,36.491,2013,{'name': 'LEEPI'}
687918,2013,NULL,106.514,88601896,33.42,2013,{'name': 'BEBINCA'}
1725029,2013,NULL,106.514,255365008,33.42,2013,{'name': 'RUMBIA'}
375680,2013,NULL,122.466,27745511,11.118,2013,{'name': 'RUMBIA'}
17218713,2013,NULL,106.514,3348037888,33.42,2013,{'name': 'SOULIK'}
48535,2013,NULL,139.068,101790458,36.491,2013,{'name': 'SOULIK'}
9174254,2013,NULL,120.946,16018204160,23.754,2013,{'name': 'SOULIK'}
0,2013,NULL,120.946,0,23.754,2013,{'name': 'SOULIK'}
35,2013,NULL,122.466,1484,11.118,2013,{'name': 'CIMARON'}
40441310,2013,NULL,106.514,10473344512,33.42,2013,{'name': 'UTOR'}
6933340,2013,NULL,114.129,21982602688,22.423,2013,{'name': 'UTOR'}
291069,2013,NULL,113.545,1028802944,22.2,2013,{'name': 'UTOR'}
41847994,2013,NULL,122.466,4336155200,11.118,2013,{'name': 'UTOR'}
29345237,2013,NULL,106.514,4641735424,33.42,2013,{'name': 'TRAMI'}
87978,2013,NULL,139.068,198285698,36.491,2013,{'name': 'TRAMI'}
0,2013,NULL,139.068,0,36.491,2013,{'name': 'HAIYAN'}
109771,2013,NULL,78.5,6514765,21,2013,{'name': 'HELEN'}
1481168,2013,NULL,106.514,241273128,33.42,2013,{'name': 'JEBI'}
536355,2013,NULL,105.314,7647176,21.491,2013,{'name': 'JEBI'}
10196637,2013,NULL,120.946,17824440320,23.754,2013,{'name': 'USAGI'}
152,2013,NULL,139.068,526088,36.491,2013,{'name': 'PABUK'}
0,2014,NULL,139.068,0,36.491,2014,{'name': 'GUITO'}
4210137,2013,NULL,78.5,201109196,21,2013,{'name': 'NOT NAMED'}
87878,2013,NULL,102.471,4244511,19.905,2013,{'name': 'NARI'}
11265309,2013,NULL,122.466,985178880,11.118,2013,{'name': 'NARI'}
59159,2013,NULL,100.844,3654249,15.7,2013,{'name': 'NARI'}
0,1992,NULL,100.844,0,15.7,1992,{'name': 'XAVIER'}
2921,2013,NULL,102.471,74219,19.905,2013,{'name': 'MANGKHUT'}
381882,2013,NULL,105.314,19764040,21.491,2013,{'name': 'MANGKHUT'}
9137408,2013,NULL,120.946,17064325804,23.754,2013,{'name': 'TRAMI'}
0,2013,NULL,120.946,0,23.754,2013,{'name': 'TRAMI'}
0,2013,NULL,120.946,0,23.754,2013,{'name': 'NARI'}
0,2013,NULL,120.946,0,23.754,2013,{'name': 'NARI'}
1229,2014,NULL,177.974,236865,-17.819,2014,{'name': 'KOFI'}
0,2014,NULL,125.878,0,-8.822,2014,{'name': 'GILLIAN'}
124088,2014,NULL,172.235,166141872,-42.634,2014,{'name': 'LUSI'}
6825136,2013,NULL,78.5,338881824,21,2013,{'name': 'NOT NAMED'}
22060,2013,NULL,-102.535,6433735,23.951,2013,{'name': 'FERNAND'}
604,2013,NULL,-102.535,534914,23.951,2013,{'name': 'OCTAVE'}
1396,2013,NULL,-102.535,1209293,23.951,2013,{'name': 'JULIETTE'}
1159294,2013,NULL,139.068,2957557224,36.491,2013,{'name': 'FRANCISCO'}
0,2013,NULL,145.623,0,15.005,2013,{'name': 'FRANCISCO'}
659198,2013,NULL,139.068,2256751088,36.491,2013,{'name': 'TORAJI'}
42308691,2013,NULL,139.068,185072727552,36.491,2013,{'name': 'MAN-YI'}
29833,2013,NULL,96.689,8500649,61.988,2013,{'name': 'MAN-YI'}
66221,2013,NULL,-102.535,50566711,23.951,2013,{'name': 'INGRID'}
222547,2013,NULL,-102.535,106093296,23.951,2013,{'name': 'MANUEL'}
65607352,2013,NULL,106.514,18423440128,33.42,2013,{'name': 'USAGI'}
6178191,2013,NULL,114.129,20124289280,22.423,2013,{'name': 'USAGI'}
0,2013,NULL,114.129,0,22.423,2013,{'name': 'HAIYAN'}
39449,2013,NULL,139.068,92493205,36.491,2013,{'name': 'USAGI'}
208889,2013,NULL,113.545,749863072,22.2,2013,{'name': 'USAGI'}
5289849,2013,NULL,122.466,793977216,11.118,2013,{'name': 'USAGI'}
672176,2013,NULL,106.514,98728796,33.42,2013,{'name': 'WUTIP'}
801639,2013,NULL,102.471,45330214,19.905,2013,{'name': 'WUTIP'}
11,2013,NULL,158.235,0,6.883,2013,{'name': 'HAIYAN'}
0,2014,NULL,158.235,0,6.883,2014,{'name': 'POLO'}
860828,2013,NULL,100.844,53117128,15.7,2013,{'name': 'WUTIP'}
4929906,2013,NULL,105.314,119124484,21.491,2013,{'name': 'WUTIP'}
0,2013,NULL,105.314,0,21.491,2013,{'name': 'WUTIP'}
8461449,2013,NULL,106.514,2454936768,33.42,2013,{'name': 'FITOW'}
102969,2013,NULL,139.068,227925809,36.491,2013,{'name': 'FITOW'}
0,2013,NULL,139.068,0,36.491,2013,{'name': 'FITOW'}
972,2013,NULL,96.689,287812,61.988,2013,{'name': 'SEPAT'}
8501053,2013,NULL,139.068,29036463360,36.491,2013,{'name': 'DANAS'}
86020,2013,NULL,122.466,6527126,11.118,2013,{'name': 'PODUL'}
4341,2013,NULL,105.314,34832,21.491,2013,{'name': 'PODUL'}
457696,2013,NULL,128.103,707989943,36.504,2013,{'name': 'DANAS'}
28707,2013,NULL,114.252,1460567,-0.976,2013,{'name': 'HAIYAN'}
394,2013,NULL,102.471,20520,19.905,2013,{'name': 'HAIYAN'}
55857492,2013,NULL,122.466,6600576512,11.118,2013,{'name': 'HAIYAN'}
0,2013,NULL,134.57,0,7.501,2013,{'name': 'HAIYAN'}
15090492,2013,NULL,105.314,420588128,21.491,2013,{'name': 'HAIYAN'}
23116492,2013,NULL,78.5,1288459424,21,2013,{'name': 'PHAILIN'}
150617,1993,NULL,-86.863,157218616,14.819,1993,{'name': 'GERT'}
3255773,2013,NULL,105.314,68976312,21.491,2013,{'name': 'NARI'}
0,2014,NULL,105.314,0,21.491,2014,{'name': 'FUNG-WONG'}
22585,2013,NULL,139.068,85667614,36.491,2013,{'name': 'WIPHA'}
0,2013,NULL,145.623,0,15.005,2013,{'name': 'LEKIMA'}
1914,2013,NULL,96.689,526280,61.988,2013,{'name': 'WIPHA'}
41885,2013,NULL,-102.535,11742518,23.951,2013,{'name': 'RAYMOND'}
1052056,2013,NULL,122.466,114602264,11.118,2013,{'name': 'KROSA'}
79,2013,NULL,-102.535,28917,23.951,2013,{'name': 'SONIA'}
7010572,2013,NULL,106.514,1054588896,33.42,2013,{'name': 'HAIYAN'}
1533,2014,NULL,96.689,601436,61.988,2014,{'name': 'NEOGURI'}
0,2013,NULL,-98.606,0,39.622,2013,{'name': 'WIPHA'}
11527244,2014,NULL,106.514,1910602368,33.42,2014,{'name': 'RAMMASUN'}
18797249,2014,NULL,122.466,2123684608,11.118,2014,{'name': 'RAMMASUN'}
3443,2005,NULL,120.946,253577456,23.754,2005,{'name': 'TALIM'}
1999,2013,NULL,139.068,4637506,36.491,2013,{'name': 'LEKIMA'}
0,2013,NULL,139.068,0,36.491,2013,{'name': 'HAIYAN'}
0,1972,NULL,139.068,0,36.491,1972,{'name': 'HYACINTH'}
6505,2013,NULL,78.5,546123,21,2013,{'name': 'LEHAR'}
7,2014,NULL,136.189,20356,-24.973,2014,{'name': 'ALESSIA'}
50084,2013,NULL,78.5,3046813,21,2013,{'name': 'MADI'}
0,2014,NULL,57.583,0,-20.255,2014,{'name': 'AMARA'}
17149,2014,NULL,136.189,30460560,-24.973,2014,{'name': 'CHRISTINE'}
555836,2014,NULL,55.538,625852520,-21.122,2014,{'name': 'BEJISA'}
0,2014,NULL,55.538,0,-21.122,2014,{'name': 'BEJISA'}
58597,2014,NULL,-175.185,8764283,-21.202,2014,{'name': 'IAN'}
616,2014,NULL,165.447,894702,-21.359,2014,{'name': 'JUNE'}
81917,2014,NULL,172.235,89689136,-42.634,2014,{'name': 'JUNE'}
26693,2014,NULL,136.189,58543741,-24.973,2014,{'name': 'DYLAN'}
