time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1970-01-01T17:11:00.000Z,-29.4,-177.169,35,5.6,mw,,,,,iscgem,iscgem799588,2015-05-13T18:53:03.000Z,"Kermadec Islands, New Zealand",earthquake,,,,,automatic,iscgem,iscgem
1970-01-04T17:00:41.000Z,24.185,102.543,11.3,7.1,mw,,,,,iscgem,iscgem799712,2017-02-22T21:49:09.818Z,"Yunnan, China",earthquake,,,,,automatic,iscgem,iscgem
1970-01-05T11:49:10.000Z,23.984,102.732,15,5.9,mw,,,,,iscgem,iscgem799745,2015-05-13T18:53:03.000Z,"Yunnan, China",earthquake,,,,,automatic,iscgem,iscgem
1970-01-06T05:35:54.000Z,-9.583,151.493,15,6.3,mw,,,,,iscgem,iscgem799772,2015-05-13T18:53:03.000Z,"D'Entrecasteaux Islands region",earthquake,,,,,automatic,iscgem,iscgem
1970-01-07T07:56:14.000Z,15.785,-59.808,36.7,6,mw,,,,,iscgem,iscgem799824,2015-05-13T18:53:03.000Z,"east of Guadeloupe, Leeward Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-01-08T17:12:41.000Z,-34.85,178.782,199.4,6.8,mw,,,,,iscgem,iscgem799872,2015-05-13T18:53:03.000Z,"south of the Kermadec Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-01-09T23:16:22.000Z,-9.166,117.235,66.6,5.8,mw,,,,,iscgem,iscgem799928,2015-05-13T18:53:03.000Z,"Sumbawa region, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-01-10T12:07:07.000Z,6.785,126.682,40,7.2,mw,,,,,iscgem,iscgem799944,2015-05-13T18:53:03.000Z,"Mindanao, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-01-10T13:59:37.000Z,6.71,126.863,40,5.7,mw,,,,,iscgem,iscgem799952,2015-05-13T18:53:03.000Z,"Mindanao, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-01-10T14:16:28.000Z,6.71,126.765,40,5.7,mw,,,,,iscgem,iscgem799953,2015-05-13T18:53:03.000Z,"Mindanao, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-01-11T05:02:05.000Z,7.326,126.857,45,6,mw,,,,,iscgem,iscgem799983,2015-05-13T18:53:03.000Z,"Mindanao, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-01-14T02:22:36.000Z,-10.169,123.233,25,6,mw,,,,,iscgem,iscgem800066,2015-05-13T18:53:03.000Z,"Timor region, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-01-16T08:05:41.000Z,60.25,-152.734,97.6,5.6,mw,,,,,iscgem,iscgem800129,2015-05-13T18:53:03.000Z,"Southern Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-01-18T00:18:23.000Z,21.393,146.713,18.3,5.8,mw,,,,,iscgem,iscgem800167,2015-05-13T18:53:03.000Z,"Mariana Islands region",earthquake,,,,,automatic,iscgem,iscgem
1970-01-20T07:19:51.000Z,-25.946,-177.219,70,6.8,mw,,,,,iscgemsup,iscgemsup800237,2015-07-13T17:02:24.000Z,"south of the Fiji Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-01-20T15:12:49.000Z,-5.344,154.344,170,5.7,mw,,,,,iscgem,iscgem800248,2015-05-13T18:53:03.000Z,"Bougainville region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1970-01-20T17:33:05.000Z,42.523,143.05,35.1,6.4,mw,,,,,iscgem,iscgem800254,2015-05-13T18:53:03.000Z,"Hokkaido, Japan region",earthquake,,,,,automatic,iscgem,iscgem
1970-01-21T17:51:37.000Z,6.843,-104.189,10,6.7,mw,,,,,iscgem,iscgem800281,2015-05-13T18:53:03.000Z,"Galapagos Triple Junction region",earthquake,,,,,automatic,iscgem,iscgem
