"gid,N,10,0","ev_id,C,6","iso3year,C,7","iso3,C,3","id_nat,C,10","id_cat,C,20","year,N,5,0","start_date,N,10,0","end_date,N,10,0","duration,N,5,0","ss_cat,N,5,0","sum_ws_km,N,10,0","sum_pdi,N,10,0","sum_pdr,N,10,0","popurb_07,N,24,15","poprur_07,N,24,15","poptot_07,N,24,15","gdptot_07,N,24,15","other_name,C,25","serial_num,C,15"
1,tc3962,FJI2013,FJI,tc39622013,,2013,20121216,20121217,48,0,3024,479960,308485,154919,92576,247495,60988426,EVAN,2012346S14180
2,tc3962,WLF2013,WLF,tc39622013,,2013,20121215,20121216,12,0,756,119990,62920,0,0,0,0,EVAN,2012346S14180
6,tc3969,AUS2013,AUS,tc39692013,,2013,20130118,20130123,93,0,5859,929916,21193,0,1371,1371,3095469,OSWALD,2013018S14138
7,tc3970,COK2013,COK,tc39702013,,2013,20130126,20130126,6,0,378,59995,7003,0,841,841,659353,GARRY,2013019S12174
13,tc3977,AUS2013,AUS,tc39772013,,2013,20130225,20130228,90,0,5670,899914,767347,0,21410,21410,43430732,RUSTY,2013052S13126
14,tc3979,NCL2013,NCL,tc39792013,,2013,20130311,20130312,12,0,756,119990,100997,0,12135,12135,16953280,SANDRA,2013065S18151
15,tc3980,AUS2013,AUS,tc39802013,,2013,20130312,20130312,3,0,189,29997,570,0,3,3,6699,TIM,2013069S13135
16,tc3981,MUS2013,MUS,tc39812013,,2013,20130414,20130414,6,0,378,59995,20912,0,0,0,0,IMELDA,2013093S08074
17,tc3985,BGD2013,BGD,tc39852013,,2013,20130516,20130516,9,0,567,89991,3096,48899,1230161,1279060,60747717,MAHASEN:VIYARU,2013130N04093
18,tc3985,IND2013,IND,tc39852013,,2013,20130516,20130516,9,0,567,89991,2313,510,175158,175668,9762938,MAHASEN:VIYARU,2013130N04093
19,tc3987,MEX2013,MEX,tc39872013,,2013,20130529,20130530,12,0,756,119989,5055,36343,47871,84214,20119230,BARBARA,2013149N14264
20,tc3988,IND2013,IND,tc39882013,,2013,20130529,20130531,48,0,3024,479956,16063,1790366,4494967,6285333,344023632,NOT NAMED,2013149N21089
21,tc3989,USA2013,USA,tc39892013,,2013,20130606,20130608,36,0,2268,359969,9659,1254349,208805,1463154,5276298496,ANDREA,2013157N25273
24,tc3993,VNM2013,VNM,tc39932013,,2013,20130623,20130624,24,0,1512,239980,2568,9472,462114,471586,18255223,BEBINCA,2013171N15117
3,tc3962,WSM2013,WSM,tc39622013,,2013,20121212,20121214,42,0,2646,419965,176320,61288,86333,147621,24662848,EVAN,2012346S14180
4,tc3963,SLB2013,SLB,tc39632013,,2013,20121228,20121228,6,0,378,59995,1748,0,757,757,92678,FREDA,2012362S08165
5,tc3966,PHL2013,PHL,tc39662013,,2013,20130103,20130103,6,0,378,59995,116,0,6037,6037,309227,SONAMU,2013001N04141
8,tc3971,AUS2013,AUS,tc39712013,,2013,20130123,20130123,6,0,378,59994,2873,0,7,7,20427,PETA,2013020S17123
9,tc3972,MDG2013,MDG,tc39722013,,2013,20130130,20130201,48,0,3024,479960,444951,350633,1827475,2178108,51565795,FELLENG,2013026S13067
10,tc3972,ZZR2013,ZZR,tc39722013,,2013,20130130,20130130,6,0,378,59995,65296,0,0,0,0,FELLENG,2013026S13067
11,tc3975,MDG2013,MDG,tc39752013,,2013,20130222,20130223,36,0,2268,359970,101972,93807,1262944,1356751,28081296,HARUNA,2013046S20042
12,tc3975,ZZE2013,ZZE,tc39752013,,2013,20130220,20130220,6,0,378,59995,45002,0,0,0,0,HARUNA,2013046S20042
22,tc3992,JPN2013,JPN,tc39922013,,2013,20130619,20130621,12,0,756,119989,2318,636181,69330,705511,2376629760,LEEPI,2013167N12128
23,tc3993,CHN2013,CHN,tc39932013,,2013,20130622,20130622,18,0,1134,179985,6288,276564,411354,687918,88601896,BEBINCA,2013171N15117
25,tc3995,CHN2013,CHN,tc39952013,,2013,20130701,20130702,24,0,1512,239980,7214,401358,1323671,1725029,255365008,RUMBIA,2013178N09133
26,tc3995,PHL2013,PHL,tc39952013,,2013,20130628,20130629,30,0,1890,299975,976,165955,209725,375680,27745511,RUMBIA,2013178N09133
27,tc3998,CHN2013,CHN,tc39982013,,2013,20130713,20130714,33,0,2079,329972,63358,8107367,9111346,17218713,3348037888,SOULIK,2013187N20156
28,tc3998,JPN2013,JPN,tc39982013,,2013,20130711,20130712,18,0,1134,179983,192598,47454,1081,48535,101790458,SOULIK,2013187N20156
