Register #,Annual DFO # (discontinued),Glide #,Country,Other,Nations, Affected,Detailed Locations (click on active links to access inundation extents),Validation (post event #3503),Began,Ended,Duration in Days,Dead,Displaced,Damage (USD),Main cause,Severity *,Affected sq km,Magnitude (M)**,Centroid X,Centroid Y,"""News"" if validated",M>6,Total annual floods M>6,M>4,Total annual floods M>4,Date Began,Total floods M>6,Total floods M>4,,,,
4449,,,Zimbawe,,#N/A,#N/A,Matabeleland North,News,02/16/2017,03/03/2017,16,246,900,,Cyclone Dineo and heavy rain,1.5,163760.91,6.59442148469581,29.022,-18.6428,News,1,113,1,231,02/16/2017,1225,3916,,,,
4448,,,Colombia,,#N/A,#N/A,Cundinamarca and Huila,News,02/23/2017,03/03/2017,9,1,2000,,Heavy Rain,1,128596.78,6.06347260364386,-72.6737,3.72258,News,1,112,1,230,02/23/2017,1224,3915,,,,
4447,,,Indonesia,,#N/A,#N/A,Bekasi,News,02/21/2017,03/03/2017,11,2,400,,Heavy Rain,1,40253.83,5.64619989330888,107.162,-7.0293,News,0,111,1,229,02/21/2017,1223,3914,,,,
4446,,,South Africa,,#N/A,#N/A,Northern and eastern parts of South Africa,News,02/17/2017,03/03/2017,15,3,0,,Cyclone Dineo and heavy rain,1,226179.81,6.53054509396459,30.5561,-27.2717,News,1,111,1,228,02/17/2017,1223,3913,,,,
4445,,,Chile,,#N/A,#N/A,Central and nothern Chile,News,02/24/2017,03/03/2017,8,3,1200,,Heavy Rain,2,183781.03,6.46842066385454,-70.2489,-30.9395,News,1,110,1,227,02/24/2017,1222,3912,,,,
4444,,,USA,,#N/A,#N/A,North Central California,News,02/16/2017,03/03/2017,16,5,14000,,Heavy Rain,1.5,126994.99,6.48399782992526,-120.825,38.804,News,1,109,1,226,02/16/2017,1221,3911,,,,
4443,,,Malaysia,,#N/A,#N/A, 7 states in Peninsular Malaysia,News,01/23/2017,02/07/2017,16,0,5000,,Heavy Rain,1,78809.78,6.10070009781653,102.461,3.93172,News,1,108,1,225,01/23/2017,1220,3910,,,,
4442,,,Colombia,,#N/A,#N/A,Nariño Department,News,01/05/2017,02/07/2017,34,0,280,,Heavy Rain,1,117321.46,6.6008563759365,-76.2863,1.6911,News,1,107,1,224,01/05/2017,1219,3909,,,,
4441,,,Peru,,#N/A,#N/A, Lambayeque region,News,02/01/2017,02/07/2017,7,1,12000,,Heavy Rain,1,288499.13,6.3052425478465,-77.573,-5.25083,News,1,106,1,223,02/01/2017,1218,3908,,,,
4440,,,Philippines,,#N/A,#N/A,Mindanao,News,02/01/2017,02/07/2017,7,13,334000,,Heavy Rain,1.5,30389.11,5.50390728023745,124.062,7.59046,News,0,105,1,222,02/01/2017,1217,3907,,,,
4439,,,Mozambique,,#N/A,#N/A,,News,01/01/2017,02/07/2017,38,6,1200,,Heavy Rain,1.5,128096.69,6.86341276345537,34.5151,-20.7778,News,1,105,1,221,01/01/2017,1217,3906,,,,
4438,,,USA,,#N/A,#N/A,Southern California,News,01/20/2017,01/21/2017,2,0,0,,Heavy Rain,1,74443.11,5.17285450396507,-119.043,35.0839,News,0,104,1,220,01/20/2017,1216,3905,,,,
4437,,,Honduras,,#N/A,#N/A,Caribbean coast,News,01/07/2017,01/21/2017,15,7,400,,Heavy Rain,1,13364.22,5.30203487537822,-85.3672,15.5805,News,0,104,1,219,01/07/2017,1216,3904,,,,
4436,,,Philippines,,#N/A,#N/A,Eastern Visayas and northern Mindaneo,News,01/16/2017,01/21/2017,6,4,13559,,Heavy Rain,1,46236.69,5.44313798656194,125.027,8.08572,News,0,104,1,218,01/16/2017,1216,3903,,,,
4435,,,Brazil,Argentina,#N/A,#N/A," Rolante, Rio Grande do Sul",News,01/05/2017,01/21/2017,17,0,0,,Heavy Rain,1,386846.74,6.81798786273998,-55.5512,-29.4094,News,1,104,1,217,01/05/2017,1216,3902,,,,
4434,,,USA,,#N/A,#N/A,Northern California,News,01/04/2017,01/05/2017,2,0,0,,Heavy Rain,1.5,107407.26,5.50815489242748,-122.458,39.6236,News,0,103,1,216,01/04/2017,1215,3901,,,,
