affected,end_date,deaths,lon,damage,lat,start_date,extra
NULL,1900,NULL,127.85,NULL,1.82,1900,{'Location': 'GALELA;HALMAHERA ISLAND'}
NULL,1900,10.0,-137.5,NULL,58.6,1900,{'Location': 'LITUYA BAY;AK'}
NULL,1900,NULL,152,NULL,-4,1900,{'Location': 'BISMARCK SEA'}
NULL,1900,NULL,148,NULL,-5,1900,{'Location': 'RABAUL HARBOR'}
NULL,1900,10.0,140,NULL,-4,1900,{'Location': 'BISMARCK SEA'}
NULL,1900,NULL,-66,NULL,11,1900,{'Location': 'MANCUTO'}
NULL,1901,NULL,-120.5,NULL,36,1901,{'Location': 'MONTEREY BAY;N. CALIFORNIA'}
50.0,1901,4.0,28.5,NULL,43.4,1901,{'Location': 'BLACK SEA'}
NULL,1901,NULL,143,NULL,39,1901,{'Location': 'IWATE;JAPAN'}
NULL,1901,NULL,130.3,NULL,28,1901,{'Location': 'RYUKYU ISLANDS'}
NULL,1901,NULL,142.5,NULL,40.5,1901,{'Location': 'OFF NORTHEAST COAST HONSHU'}
NULL,1901,NULL,170,NULL,-22,1901,{'Location': 'LOYALTY ISLANDS'}
NULL,1901,18.0,142.3,NULL,40.6,1901,{'Location': 'OFF NORTHEAST COAST HONSHU'}
NULL,1901,NULL,142.5,NULL,40.5,1901,{'Location': 'OFF NORTHEAST COAST HONSHU'}
NULL,1901,NULL,121.6,NULL,14,1901,{'Location': 'E. LUZON ISLAND'}
NULL,1901,NULL,-86.5,NULL,11,1901,{'Location': 'NICARAGUA'}
NULL,1901,NULL,-171.02,NULL,51.45,1901,{'Location': 'FOX ISLANDS;ALEUTIAN ISLANDS'}
NULL,1902,NULL,-91.59,NULL,14.71,1902,{'Location': 'OCOSA'}
200.0,1902,370.0,-89.5,NULL,13.5,1902,{'Location': 'EL SALVADOR-GUATEMALA'}
NULL,1902,2000.0,-91,NULL,14,1902,{'Location': 'OCOS'}
NULL,1902,23.0,-61.17,NULL,14.82,1902,{'Location': 'MOUNT PELEE'}
NULL,1902,1680.0,-61.18,NULL,13.33,1902,{'Location': 'SOUFRIERE VOLCANO'}
NULL,1902,28000.0,-61.17,NULL,14.82,1902,{'Location': 'MOUNT PELEE'}
