affected,end_date,deaths,lon,damage,lat,start_date,extra
NULL,1900,50.0,138.53,NULL,36.4,1900,{'Name': 'Asama'}
6.0,1900,4.0,130.87,NULL,31.93,1900,{'Name': 'Kirishima'}
20.0,1900,144.0,140.28,NULL,37.62,1900,{'Name': 'Adatara'}
NULL,1900,NULL,39.13,NULL,8.158,1900,{'Name': 'Tullu Moje'}
NULL,1901,NULL,112.308,NULL,-7.93,1901,{'Name': 'Kelut'}
NULL,1901,NULL,168.37,NULL,-16.68,1901,{'Name': 'Epi'}
NULL,1902,46.0,-61.17,NULL,14.82,1902,{'Name': 'Pelee'}
NULL,1902,3360.0,-61.18,NULL,13.33,1902,{'Name': 'Soufriere St. Vincent'}
NULL,1902,56000.0,-61.17,NULL,14.82,1902,{'Name': 'Pelee'}
NULL,1902,NULL,-61.17,NULL,14.82,1902,{'Name': 'Pelee'}
NULL,1902,250.0,140.32,NULL,30.48,1902,{'Name': 'Tori-shima'}
NULL,1902,2000.0,-61.17,NULL,14.82,1902,{'Name': 'Pelee'}
NULL,1902,3000.0,-91.552,NULL,14.756,1902,{'Name': 'Santa Maria'}
90.0,1902,32.0,110.442,NULL,-7.542,1902,{'Name': 'Merapi'}
NULL,1903,8.0,176.5,NULL,-38.12,1903,{'Name': 'Okataina'}
NULL,1903,34.0,43.38,NULL,-11.75,1903,{'Name': 'Karthala'}
NULL,1904,2.0,43.38,NULL,-11.75,1904,{'Name': 'Karthala'}
2.0,1905,2.0,14.426,NULL,40.821,1905,{'Name': 'Vesuvius'}
NULL,1905,NULL,-172.525,NULL,-13.612,1905,"{'Name': ""Savai'i""}"
600.0,1906,700.0,14.426,NULL,40.821,1906,{'Name': 'Vesuvius'}
NULL,1907,NULL,-175.65,NULL,-21.38,1907,{'Name': 'Unnamed'}
NULL,1907,NULL,40.57,NULL,12.88,1907,{'Name': 'Alayta'}
NULL,1907,2.0,122.775,NULL,-8.53,1907,{'Name': 'Lewotobi'}
NULL,1907,NULL,-172.525,NULL,-13.612,1907,"{'Name': ""Savai'i""}"
NULL,1909,NULL,9.17,NULL,4.203,1909,{'Name': 'Cameroon; Mt.'}
NULL,1909,442.0,112.92,NULL,-8.108,1909,{'Name': 'Semeru'}
NULL,1910,2.0,176,NULL,-38.82,1910,{'Name': 'Taupo'}
NULL,1910,2.0,140.83,NULL,42.53,1910,{'Name': 'Usu'}
398.0,1911,2670.0,120.993,NULL,14.002,1911,{'Name': 'Taal'}
NULL,1911,2.0,138.53,NULL,36.4,1911,{'Name': 'Asama'}
NULL,1911,NULL,138.53,NULL,36.4,1911,{'Name': 'Asama'}
NULL,1911,NULL,-61,NULL,10,1911,{'Name': 'Piparo'}
NULL,1911,NULL,112.92,NULL,-8.108,1911,{'Name': 'Semeru'}
NULL,1912,4.0,-155.16,NULL,58.27,1912,{'Name': 'Novarupta'}
NULL,1912,40.0,29.2,NULL,-1.408,1912,{'Name': 'Nyamuragira;Africa-C'}
NULL,1913,26.0,-103.62,NULL,19.514,1913,{'Name': 'Colima'}
NULL,1913,138.0,125.5,NULL,3.67,1913,{'Name': 'Awu'}
NULL,1913,2.0,138.53,NULL,36.4,1913,{'Name': 'Asama'}
NULL,1913,NULL,112.92,NULL,-8.108,1913,{'Name': 'Semeru'}
NULL,1913,42.0,168.12,NULL,-16.25,1913,{'Name': 'Ambrym'}
112.0,1914,91.0,130.67,19040000.0,31.58,1914,{'Name': 'Sakura-jima'}
NULL,1914,NULL,150.52,NULL,-5.58,1914,{'Name': 'Pago'}
NULL,1914,22.0,177.18,NULL,-37.52,1914,{'Name': 'White Island'}
NULL,1914,200.0,167.83,NULL,-15.4,1914,{'Name': 'Aoba'}
NULL,1916,NULL,-78.442,NULL,-1.467,1916,{'Name': 'Tungurahua'}
NULL,1916,NULL,15.213,NULL,38.789,1916,{'Name': 'Stromboli'}
NULL,1917,NULL,35.902,NULL,-2.751,1917,{'Name': 'Lengai; Ol Doinyo'}
6.0,1917,4.0,176.5,NULL,-38.12,1917,{'Name': 'Okataina'}
NULL,1917,NULL,-72.614,NULL,-41.326,1917,{'Name': 'Calbuco'}
NULL,1917,650.0,-89.286,NULL,13.736,1917,{'Name': 'San Salvador'}
NULL,1918,NULL,125.491,NULL,3.138,1918,{'Name': 'Banua Wuhu'}
NULL,1918,NULL,-19.05,NULL,63.63,1918,{'Name': 'Katla'}
NULL,1919,NULL,-98.622,NULL,19.023,1919,{'Name': 'Popocatepetl'}
NULL,1919,NULL,125.491,NULL,3.138,1919,{'Name': 'Banua Wuhu'}
NULL,1919,10220.0,112.308,NULL,-7.93,1919,{'Name': 'Kelut'}
NULL,1919,8.0,15.213,NULL,38.789,1919,{'Name': 'Stromboli'}
NULL,1919,4.0,139.97,NULL,37.12,1919,{'Name': 'Nasu'}
NULL,1919,NULL,-155.608,NULL,19.475,1919,{'Name': 'Mauna Loa'}
NULL,1920,66.0,110.442,NULL,-7.542,1920,{'Name': 'Merapi'}
NULL,1920,NULL,-89.633,NULL,13.813,1920,{'Name': 'Izalco'}
NULL,1921,2.0,139.97,NULL,37.12,1921,{'Name': 'Nasu'}
NULL,1923,2.0,107.73,NULL,-7.32,1923,{'Name': 'Papandayan'}
NULL,1923,6.0,107.6,NULL,-6.77,1923,{'Name': 'Tangkubanparahu'}
NULL,1923,2.0,130.87,NULL,31.93,1923,{'Name': 'Kirishima'}
NULL,1924,2.0,-155.292,NULL,19.425,1924,{'Name': 'Kilauea'}
414.0,1926,288.0,142.68,NULL,43.42,1926,{'Name': 'Tokachi'}
NULL,1927,NULL,121.708,NULL,-8.32,1927,{'Name': 'Paluweh'}
NULL,1927,2.0,-16.65,NULL,64.27,1927,{'Name': 'Esjufjoll'}
NULL,1928,96.0,25.396,NULL,36.404,1928,{'Name': 'Santorini'}
NULL,1928,NULL,123.685,NULL,13.257,1928,{'Name': 'Mayon'}
NULL,1928,NULL,105.423,NULL,-6.102,1928,{'Name': 'Krakatau'}
NULL,1928,80.0,109.92,NULL,-7.2,1928,{'Name': 'Dieng Volc Complex'}
200.0,1928,324.0,121.708,NULL,-8.32,1928,{'Name': 'Paluweh'}
NULL,1928,10.0,15.004,NULL,37.734,1928,{'Name': 'Etna'}
NULL,1929,NULL,-72.614,NULL,-41.326,1929,{'Name': 'Calbuco'}
8.0,1929,4.0,140.68,NULL,42.07,1929,{'Name': 'Komaga-take'}
NULL,1929,4.0,15.004,NULL,37.734,1929,{'Name': 'Etna'}
NULL,1929,400.0,-91.552,NULL,14.756,1929,{'Name': 'Santa Maria'}
NULL,1930,NULL,105.423,NULL,-6.102,1930,{'Name': 'Krakatau'}
NULL,1930,12.0,138.53,NULL,36.4,1930,{'Name': 'Asama'}
40.0,1930,11.0,15.213,NULL,38.789,1930,{'Name': 'Stromboli'}
NULL,1930,2738.0,110.442,NULL,-7.542,1930,{'Name': 'Merapi'}
NULL,1931,6.0,138.53,NULL,36.4,1931,{'Name': 'Asama'}
NULL,1932,NULL,-90.88,NULL,14.473,1932,{'Name': 'Fuego'}
NULL,1932,NULL,110.442,NULL,-7.542,1932,{'Name': 'Merapi'}
14.0,1932,4.0,138.55,NULL,36.62,1932,{'Name': 'Kusatsu-Shirane'}
NULL,1933,2.0,154.508,NULL,49.12,1933,{'Name': 'Kharimkotan'}
NULL,1933,2.0,139.02,NULL,35.22,1933,{'Name': 'Hakone'}
52.0,1933,16.0,130.22,NULL,30.43,1933,{'Name': 'Kuchinoerabu-jima'}
NULL,1933,9.0,124.05,NULL,12.77,1933,{'Name': 'Bulusan'}
NULL,1934,2.0,-121.694,NULL,45.374,1934,{'Name': 'Hood'}
NULL,1936,4.0,138.53,NULL,36.4,1936,{'Name': 'Asama'}
NULL,1937,6.0,-71.729,NULL,-38.692,1937,{'Name': 'Llaima'}
NULL,1937,1014.0,152.203,NULL,-4.271,1937,{'Name': 'Rabaul'}
NULL,1938,NULL,29.2,NULL,-1.408,1938,{'Name': 'Nyamuragira;Africa-C'}
NULL,1938,4.0,140.08,NULL,37.6,1938,{'Name': 'Bandai'}
NULL,1938,NULL,123.685,NULL,13.257,1938,{'Name': 'Mayon'}
NULL,1938,NULL,138.53,NULL,36.4,1938,{'Name': 'Asama'}
NULL,1939,4.0,140.32,NULL,30.48,1939,{'Name': 'Tori-shima'}
NULL,1939,20.0,109.92,NULL,-7.2,1939,{'Name': 'Dieng Volc Complex'}
4.0,1940,2.0,125.48,NULL,2.78,1940,{'Name': 'Karangetang [Api Siau]'}
40.0,1940,22.0,139.53,NULL,34.08,1940,{'Name': 'Miyake-jima'}
NULL,1940,NULL,35.902,NULL,-2.751,1940,{'Name': 'Lengai; Ol Doinyo'}
2.0,1941,2.0,138.53,NULL,36.4,1941,{'Name': 'Asama'}
NULL,1941,NULL,112.92,NULL,-8.108,1941,{'Name': 'Semeru'}
NULL,1943,6.0,-102.25,NULL,19.48,1943,{'Name': 'Michoacan-Guanajuato'}
NULL,1943,2.0,-91.42,NULL,-0.9,1943,{'Name': 'Azul; Cerro'}
NULL,1944,54.0,14.426,NULL,40.821,1944,{'Name': 'Vesuvius'}
NULL,1944,2.0,-169.95,NULL,52.82,1944,{'Name': 'Cleveland'}
NULL,1944,2.0,140.83,NULL,42.53,1944,{'Name': 'Usu'}
NULL,1944,NULL,15.213,NULL,38.789,1944,{'Name': 'Stromboli'}
NULL,1944,2.0,140.83,NULL,42.53,1944,{'Name': 'Usu'}
500.0,1944,234.0,109.92,NULL,-7.2,1944,{'Name': 'Dieng Volc Complex'}
NULL,1946,2.0,130.67,NULL,31.58,1946,{'Name': 'Sakura-jima'}
NULL,1946,12.0,112.92,NULL,-8.108,1946,{'Name': 'Semeru'}
NULL,1946,NULL,112.92,NULL,-8.108,1946,{'Name': 'Semeru'}
NULL,1947,NULL,123.685,NULL,13.257,1947,{'Name': 'Mayon'}
NULL,1947,22.0,138.53,NULL,36.4,1947,{'Name': 'Asama'}
NULL,1947,1398.0,139.18,NULL,36.53,1947,{'Name': 'Akagi'}
NULL,1947,2.0,-19.7,NULL,63.98,1947,{'Name': 'Hekla'}
NULL,1948,NULL,123.59,NULL,-8.54,1948,{'Name': 'Iliwerung'}
NULL,1949,108.0,-71.93,NULL,-39.42,1949,{'Name': 'Villarrica'}
NULL,1949,34.0,-76.4,NULL,2.32,1949,{'Name': 'Purace'}
NULL,1949,4.0,124.673,NULL,9.203,1949,{'Name': 'Camiguin'}
NULL,1950,12.0,112.92,NULL,-8.108,1950,{'Name': 'Semeru'}
NULL,1950,136.0,124.673,NULL,9.203,1950,{'Name': 'Camiguin'}
2.0,1950,2.0,138.53,NULL,36.4,1950,{'Name': 'Asama'}
NULL,1951,5884.0,148.15,NULL,-8.95,1951,{'Name': 'Lamington'}
NULL,1951,1000.0,-87.57,NULL,12.98,1951,{'Name': 'Cosiguina'}
NULL,1951,14.0,112.308,NULL,-7.93,1951,{'Name': 'Kelut'}
NULL,1951,4.0,139.02,NULL,35.22,1951,{'Name': 'Hakone'}
3000.0,1951,1000.0,124.673,NULL,9.203,1951,{'Name': 'Camiguin'}
NULL,1951,NULL,157.95,NULL,-9.02,1951,{'Name': 'Kavachi'}
NULL,1952,2.0,139.02,NULL,35.22,1952,{'Name': 'Hakone'}
NULL,1952,NULL,139.85,NULL,32.1,1952,{'Name': 'Myojun Knoll'}
NULL,1952,NULL,139.85,NULL,32.1,1952,{'Name': 'Myojun Knoll'}
NULL,1952,62.0,139.85,NULL,32.1,1952,{'Name': 'Myojun Knoll'}
NULL,1952,NULL,139.85,NULL,32.1,1952,{'Name': 'Myojun Knoll'}
NULL,1952,24.0,121.1,NULL,17.32,1952,{'Name': 'Ambalatungan Group'}
NULL,1953,NULL,139.85,NULL,32.1,1953,{'Name': 'Myojun Knoll'}
114.0,1953,128.0,110.442,NULL,-7.542,1953,{'Name': 'Merapi'}
NULL,1953,NULL,139.85,NULL,32.1,1953,{'Name': 'Myojun Knoll'}
NULL,1953,12.0,131.1,NULL,32.88,1953,{'Name': 'Aso'}
NULL,1953,NULL,147.35,NULL,-2.38,1953,{'Name': 'St. Andrew Strait'}
2.0,1953,10.0,124.148,NULL,-8.51,1953,{'Name': 'Sirung'}
NULL,1953,20.0,139.02,NULL,35.22,1953,{'Name': 'Hakone'}
NULL,1953,2.0,139.38,NULL,34.73,1953,{'Name': 'Oshima'}
NULL,1953,302.0,175.57,NULL,-39.28,1953,{'Name': 'Ruapehu'}
NULL,1954,NULL,15.213,NULL,38.789,1954,{'Name': 'Stromboli'}
NULL,1954,2.0,137.6,NULL,36.57,1954,{'Name': 'Tate-yama'}
NULL,1954,50.0,144.85,NULL,-3.6,1954,{'Name': 'Bam'}
NULL,1954,4.0,124.673,NULL,9.203,1954,{'Name': 'Camiguin'}
NULL,1955,4.0,-72.07,NULL,-40.35,1955,{'Name': 'Carran-Los Venados'}
NULL,1955,NULL,130.67,NULL,31.58,1955,{'Name': 'Sakura-jima'}
NULL,1956,NULL,160.587,NULL,55.978,1956,{'Name': 'Bezymianny'}
NULL,1957,NULL,-168.68,NULL,53.13,1957,{'Name': 'Vsevidof'}
NULL,1957,26.0,130.3,NULL,32.75,1957,{'Name': 'Unzen'}
106.0,1957,2.0,139.38,NULL,34.73,1957,{'Name': 'Oshima'}
NULL,1957,24.0,131.1,NULL,32.88,1957,{'Name': 'Aso'}
20.0,1958,2.0,124.858,NULL,1.358,1958,{'Name': 'Mahawu'}
NULL,1958,4.0,142.88,NULL,43.68,1958,{'Name': 'Daisetsu'}
NULL,1958,NULL,168.536,NULL,-16.829,1958,{'Name': 'Kuwae'}
NULL,1960,NULL,-72.117,NULL,-40.59,1960,{'Name': 'Puyehue'}
NULL,1961,NULL,-72.614,NULL,-41.326,1961,{'Name': 'Calbuco'}
NULL,1961,2.0,137.6,NULL,36.57,1961,{'Name': 'Tate-yama'}
12.0,1961,12.0,110.442,NULL,-7.542,1961,{'Name': 'Merapi'}
NULL,1961,4.0,142.88,NULL,43.68,1961,{'Name': 'Daisetsu'}
NULL,1961,2.0,138.53,NULL,36.4,1961,{'Name': 'Asama'}
22.0,1962,10.0,142.68,NULL,43.42,1962,{'Name': 'Tokachi'}
NULL,1962,4.0,110.442,NULL,-7.542,1962,{'Name': 'Merapi'}
10.0,1962,10.0,127.325,NULL,0.8,1962,{'Name': 'Gamalama'}
NULL,1963,30.0,-83.852,NULL,9.979,1963,{'Name': 'Irazu'}
1248.0,1963,2056.0,115.508,NULL,-8.342,1963,{'Name': 'Agung'}
NULL,1963,2.0,112.92,NULL,-8.108,1963,{'Name': 'Semeru'}
